m0000153,Boothia,arctic
m0000154,Laurentian Fan,atlantic
m0000155,Admiralty,arctic
m0000156,North Labrador Coast,atlantic
m0000157,Navy Board,arctic
m0000158,Kane,arctic
m0000159,Robeson,arctic
m0000160,Clarence,arctic
m0000161,Whitefish Bay,great_lakes
m0000162,Pond,arctic
m0000163,Gulf - Port au Port,atlantic
m0000164,Bowie,pacific
m0000165,Belle Isle Bank,atlantic
m0000166,North Mackenzie,arctic
m0000167,Mackenzie,arctic
m0000168,Donnacona to Beauport,st_lawrence
m0000169,Alert,arctic
m0000170,Axel Heiberg,arctic
m0000171,Ballantyne,arctic
m0000172,Bartlett,arctic
m0000173,Borden,arctic
m0000174,Brock,arctic
m0000175,CU4,arctic
m0000176,Ellef Ringnes,arctic
m0000177,Ellesmere,arctic
m0000178,Fitzwilliam,arctic
m0000179,Greely,arctic
m0000180,Griper,arctic
m0000181,Gustaf,arctic
m0000182,Hassel,arctic
m0000183,Hazen,arctic
m0000184,Liddon,arctic
m0000185,Massey,arctic
m0000186,Peary,arctic
m0000187,Prince Patrick,arctic
m0000188,South Axel Heiberg,arctic
m0000189,South Ellef Ringnes,arctic
m0000190,South Prince Patrick,arctic
m0000191,South Sverdrup,arctic
m0000192,Ward Hunt,arctic
m0000193,Wilkins,arctic
m0000194,CT4,arctic
m0000195,Nansen,arctic
m0000196,North Sverdrup,arctic
m0000197,North Prince Patrick,arctic
m0000198,Pointe à Michel to Pointe-des-Monts,st_lawrence
m0000199,Tadoussac to Pointe à Michel,st_lawrence
